,Lagrangian mass,Radius,Density,Temperature,Pressure,Luminosity,E generation rate,Opacity,Adiabatic temperature gradient,Actual temperature gradient,Energy transport
96,2.6802778468697e+31,22255081578.634155,1.7496461951760585,5414751.702536504,1282481845895583.5,7.33085552823783e+30,0.0038012321940224946,1.4579778292951968,0.4,0.4,c
97,2.7090040596404195e+31,22409828646.21023,1.7542756047399284,5399771.359678266,1282294092889645.0,7.362884417116406e+30,0.003751415738454774,1.4616971020332767,0.4,0.4,c
98,2.738038149186344e+31,22565534297.96063,1.7588991406690664,5384877.980307719,1282104327617400.0,7.394447211077226e+30,0.003702334419134406,1.4654210544301205,0.4,0.4,c
99,2.7673834152153096e+31,22722203799.987556,1.7635162461188896,5370072.350483145,1281912528512132.0,7.425552153034783e+30,0.0036539809896732004,1.4691495567107817,0.4,0.4,c
100,2.797043192800115e+31,22879842473.94022,1.768126365492107,5355355.226618371,1281718673775982.0,7.456207363050556e+30,0.003606348125777132,1.4728824798367972,0.4,0.4,c
101,2.827020852757685e+31,23038455695.334743,1.7727289446043328,5340727.335705332,1281522741377469.0,7.486420839488719e+30,0.0035594284319745155,1.4766196955094877,0.4,0.4,c
102,2.857319802032076e+31,23198048891.957375,1.777323430847883,5326189.375548889,1281324709048986.5,7.516200460164071e+30,0.0035132144481830854,1.4803610761747532,0.4,0.4,c
103,2.8879434840817143e+31,23358627542.34638,1.7819092733538182,5311742.015012925,1281124554284272.8,7.545553983484774e+30,0.0034676986561126603,1.484106495029252,0.4,0.4,c
104,2.9188953792706527e+31,23520197174.348213,1.7864859231522587,5297385.8942768285,1280922254335852.2,7.574489049592078e+30,0.0034228734855001083,1.4878558260278862,0.4,0.4,c
105,2.950179005264251e+31,23682763363.74391,1.7910528333310138,5283121.6251014825,1280717786212450.8,7.603013181498948e+30,0.003378731320174707,1.4916089438924958,0.4,0.4,c
106,2.981797917428888e+31,23846331732.94174,1.7956094591925464,5268949.791103967,1280511126676381.2,7.631133786229162e+30,0.0033352645039516652,1.4953657241216978,0.4,0.4,c
107,3.013755709235953e+31,24010907949.7325,1.8001552584092857,5254870.948040233,1280302252240905.0,7.658858155958216e+30,0.003292465346353037,1.4991260430017685,0.4,0.4,c
108,3.0460560126703873e+31,24176497726.103996,1.8046896911772887,5240885.624095027,1280091139167561.0,7.686193469157135e+30,0.003250326128154707,1.5028897776185175,0.4,0.4,c
109,3.0787024986433843e+31,24343106817.111397,1.8092122203682495,5226994.320178437,1279877763463467.0,7.713146791740047e+30,0.0032088391067594704,1.5066568058700676,0.4,0.4,c
110,3.111698877409513e+31,24510741019.800407,1.813722311679841,5213197.510228429,1279662100878596.0,7.739725078216232e+30,0.0031679965213961088,1.5104270064804677,0.4,0.4,c
111,3.145048898988533e+31,24679406172.180344,1.818219433784371,5199495.641518818,1279444126903017.5,7.765935172847121e+30,0.0031277905981448133,1.5142002590140955,0.4,0.4,c
112,3.178756353591512e+31,24849108152.244347,1.8227030584757133,5185889.134972145,1279223816764111.8,7.791783810808633e+30,0.0030882135547898454,1.5179764438907566,0.4,0.4,c
